id	doi	title	section_id	section_title	sentence_id	sentence	year	volume	label
10.1002/asi.24279-3-048	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	3	Keyphrase Extraction Neural Network Model	48	"Hence , character information might be beneficial in the keyphrase extraction task , allowing a model to be robust to OOV words ."	2020	"Volume71, Issue5"	other
10.1002/asi.24279-3-049	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	3	Keyphrase Extraction Neural Network Model	49	With W cw ∈ ?dc × 2.dc and b cw ∈ ?dc .	2020	"Volume71, Issue5"	other
10.1002/asi.24279-3-050	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	3	Keyphrase Extraction Neural Network Model	50	The sequence then pass through the hierarchical conversation context encoders of the framework .	2020	"Volume71, Issue5"	other
10.1002/asi.24279-3-051	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	3	Keyphrase Extraction Neural Network Model	51	"Since contains character‐level and word‐level information , the following layers can theoretically make use of the abundant information , such as morphological representations , to improve the performance of keyphrase extraction ."	2020	"Volume71, Issue5"	conclusion
10.1002/asi.24279-3-052	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	3	Keyphrase Extraction Neural Network Model	52	Keyphrase taggers are utilized to indicate a keyphrase from target posts .	2020	"Volume71, Issue5"	other
10.1002/asi.24279-3-053	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	3	Keyphrase Extraction Neural Network Model	53	We follow Zhang et al .	2020	"Volume71, Issue5"	other
10.1002/asi.24279-3-054	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	3	Keyphrase Extraction Neural Network Model	54	( 2016 ) to cast keyphrase extraction into the sequence‐tagging task .	2020	"Volume71, Issue5"	other
10.1002/asi.24279-3-055	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	3	Keyphrase Extraction Neural Network Model	55	"As shown in Figure 1 , our keyphrase taggers are built on an input feature map I ( ."	2020	"Volume71, Issue5"	other
10.1002/asi.24279-3-056	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	3	Keyphrase Extraction Neural Network Model	56	") , which embed each word x i , w in a target post into a dense vector format , that is , I ( x i , w ) = v i , w ."	2020	"Volume71, Issue5"	other
10.1002/asi.24279-3-057	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	3	Keyphrase Extraction Neural Network Model	57	"In the keyphrase tagger , two sequence‐tagging patterns are employed , that is , single‐layer tagging patterns and joint‐layer tagging patterns ."	2020	"Volume71, Issue5"	other
10.1002/asi.24279-3-058	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	3	Keyphrase Extraction Neural Network Model	58	These two patterns are described in detail in the following paragraphs .	2020	"Volume71, Issue5"	other
10.1002/asi.24279-3-059	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	3	Keyphrase Extraction Neural Network Model	59	Table 3 lists the definition of each value .	2020	"Volume71, Issue5"	other
10.1002/asi.24279-3-060	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	3	Keyphrase Extraction Neural Network Model	60	In the light of the research by Zhang et al .	2020	"Volume71, Issue5"	other
10.1002/asi.24279-3-061	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	3	Keyphrase Extraction Neural Network Model	61	"( 2016 ) , it has shown that keyphrase extraction methods with this 5‐value tagset perform better than those with binary outputs , that is , only marked with yes or no for a word to be part of a keyphrase ."	2020	"Volume71, Issue5"	ResearchResult
10.1002/asi.24279-3-062	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	3	Keyphrase Extraction Neural Network Model	62	"To predict words tags , we use Bi‐LSTM , a state‐of‐the‐art neural network ."	2020	"Volume71, Issue5"	other
10.1002/asi.24279-3-063	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	3	Keyphrase Extraction Neural Network Model	63	Joint‐Layer Tagging Pattern .	2020	"Volume71, Issue5"	other
10.1002/asi.24279-3-064	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	3	Keyphrase Extraction Neural Network Model	64	"In addition to single‐layer tagging pattern , we also use the joint‐layer tagging pattern proposed by Zhang et al ."	2020	"Volume71, Issue5"	other
10.1002/asi.24279-3-065	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	3	Keyphrase Extraction Neural Network Model	65	"( 2016 ) , which is a state‐of‐the‐art keyphrase tagger in previous works ."	2020	"Volume71, Issue5"	other
10.1002/asi.24279-3-066	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	3	Keyphrase Extraction Neural Network Model	66	"As a multitask learner , joint‐layer taggers tackle two tasks with two types of outputs , and ."	2020	"Volume71, Issue5"	other
10.1002/asi.24279-3-067	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	3	Keyphrase Extraction Neural Network Model	67	"has a binary tagset , which indicates whether word x i , w is part of a keyphrase or not ."	2020	"Volume71, Issue5"	other
10.1002/asi.24279-3-068	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	3	Keyphrase Extraction Neural Network Model	68	employs the 5‐value tagset defined in Table 3 .	2020	"Volume71, Issue5"	other
10.1002/asi.24279-4-001	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	4	Data Set	1	Our experiments were conducted on two data sets : the Election‐Trec data set and the Daily‐Life data set .	2020	"Volume71, Issue5"	ResearchMethod
10.1002/asi.24279-4-002	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	4	Data Set	2	Both data sets were collected from Twitter .	2020	"Volume71, Issue5"	ResearchMethod
10.1002/asi.24279-4-003	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	4	Data Set	3	The Election‐Trec data set is constructed based on the TREC2011 microblog track11 https : //trec.nist.gov/data/tweets/ and the Election data set22 http : //www.ccs.neu.edu/home/luwang/datasets/microblog_conversation.zip shared by Zeng et al .	2020	"Volume71, Issue5"	ResearchMethod
10.1002/asi.24279-4-004	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	4	Data Set	4	( 2018 ) .	2020	"Volume71, Issue5"	other
10.1002/asi.24279-4-005	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	4	Data Set	5	"For the TREC2011 data set , to recover conversations , we used the tweet search API33 http : //developer.twitter.com/en/docs/tweets/search/api-reference/get-saved_searches-show-id to retrieve full information of a tweet with its “ in reply to status id ” included ."	2020	"Volume71, Issue5"	other
10.1002/asi.24279-4-006	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	4	Data Set	6	"Recursively , we searched the “ in reply to ” tweet until the entire conversation was recovered ."	2020	"Volume71, Issue5"	other
10.1002/asi.24279-4-007	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	4	Data Set	7	"Note that we do not consider retweet relations , that is , reposting behaviors on Twitter , because retweets provide limited extra textual information for the reason that Twitter did not allow users to add comments in retweets until 2015 ."	2020	"Volume71, Issue5"	other
10.1002/asi.24279-4-008	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	4	Data Set	8	"The Election data set is directly used , since it contains the full conversation of each Twitter already ."	2020	"Volume71, Issue5"	other
10.1002/asi.24279-4-009	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	4	Data Set	9	The Daily‐Life data set was collected from January to April of 2018 using tweet 's streaming API with a small set of daily life keywords .	2020	"Volume71, Issue5"	ResearchMethod
10.1002/asi.24279-4-010	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	4	Data Set	10	Then the conversations were recovered using a tweet search API in a recursive way .	2020	"Volume71, Issue5"	other
10.1002/asi.24279-4-011	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	4	Data Set	11	"For keyphrase annotation , we follow Zhang et al ."	2020	"Volume71, Issue5"	other
10.1002/asi.24279-4-012	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	4	Data Set	12	( 2016 ) to use microblog hashtags as gold‐standard keyphrases .	2020	"Volume71, Issue5"	other
10.1002/asi.24279-4-013	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	4	Data Set	13	"They evaluated the quality of the hashtags by randomly selecting 1,000 tweets and choosing three volunteers ."	2020	"Volume71, Issue5"	other
10.1002/asi.24279-4-014	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	4	Data Set	14	"Every tweet was assigned a score of 2 ( perfectly suitable ) , 1 ( suitable ) , or 0 ( unsuitable ) to indicate whether the hashtag of the tweet was a good keyphrase for it ."	2020	"Volume71, Issue5"	other
10.1002/asi.24279-4-015	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	4	Data Set	15	The results showed that 90.2 % were suitable and 66.1 % were perfectly suitable .	2020	"Volume71, Issue5"	ResearchResult
10.1002/asi.24279-4-016	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	4	Data Set	16	This demonstrated that the hashtag can be regarded as the ground truth keyphrase of tweets .	2020	"Volume71, Issue5"	ResearchResult
10.1002/asi.24279-4-017	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	4	Data Set	17	"In Twitter , the hashtag is designed to provide a way for users to embed metadata in their posts , which indicate the specific semantic domain of the post ( Kapanova & Fidanova , 2017 ; Small , 2011 ) ."	2020	"Volume71, Issue5"	other
10.1002/asi.24279-4-018	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	4	Data Set	18	"In previous studies , the hashtag was utilized to help conduct information retrieval ( Chew & Eysenbach , 2010 ) and event tracking ( Efron , 2010 ) ."	2020	"Volume71, Issue5"	other
10.1002/asi.24279-4-019	10.1002/asi.24279	"Joint Modeling of Characters, Words, and Conversation Contexts for Microblog Keyphrase Extraction"	4	Data Set	19	"Thus , we employ the hashtag in the tweet as the ground truth keyphrases ."	2020	"Volume71, Issue5"	other
